NOC_CNP,NOC_Title_eng,NOC_Title_fra,prov,ER_Code_Code_RE,ER_Name,Nom_RE,Low_Wage_Salaire_Minium,Median_Wage_Salaire_Median,High_Wage_Salaire_Maximal,Average_Wage_Salaire_Moyen,Quartile1_Wage_Salaire_Quartile1,Quartile3_Wage_Salaire_Quartile3,Source2025_NHQ,Data_Source_E,Data_Source_F,Reference_Period,Revision_Date_Date_revision,Annual_Wage_Flag_Salaire_annuel,Wage_Comment_E,Wage_Comment_F,EmployeesWithNonWageBenefit_Pct
NOC_00010,Legislators,Membres des corps législatifs,NAT,ER00,Canada,Canada,32867,84000,184000,97600,54400,132000,Census 2021 CAN NOC5,2021 Census,Recensement 2021,2021,2025-11-19,1,Wages for this occupation are presented at an annual rate to better represent earnings for this occupation.,Pour cette profession sont présentés au taux annuel afin de mieux représenter la rémunération pour cette profession.,63.1
NOC_00010,Legislators,Membres des corps législatifs,NL,ER10,Newfoundland and Labrador,Terre-Neuve-et-Labrador,,99000,,90000,,,Census 2021 PR NOC5,2021 Census,Recensement 2021,2021,2025-11-19,1,Wages for this occupation are presented at an annual rate to better represent earnings for this occupation.,Pour cette profession sont présentés au taux annuel afin de mieux représenter la rémunération pour cette profession.,
NOC_00010,Legislators,Membres des corps législatifs,NL,ER1010,Avalon Peninsula,Avalon Peninsula,,,,,,,N/A,NA,NA,NA,2025-11-19,0,"Due to data limitations, the wage for this occupation cannot be published. Please refer to the wage published for this occupation at the provincial level.","En raison des limites associées aux données, le salaire pour cette profession ne peut être diffusé. Veuillez vous référer au salaire publié au niveau provincial pour cette profession.",
NOC_00010,Legislators,Membres des corps législatifs,NL,ER1020,South Coast--Burin Peninsula,Côte-sud--Burin Peninsula,,,,,,,N/A,NA,NA,NA,2025-11-19,0,"Due to data limitations, the wage for this occupation cannot be published. Please refer to the wage published for this occupation at the provincial level.","En raison des limites associées aux données, le salaire pour cette profession ne peut être diffusé. Veuillez vous référer au salaire publié au niveau provincial pour cette profession.",
NOC_00010,Legislators,Membres des corps législatifs,NL,ER1030,West Coast--Northern Peninsula--Labrador,Côte-ouest--Northern Peninsula--Labrador,,,,,,,N/A,NA,NA,NA,2025-11-19,0,"Due to data limitations, the wage for this occupation cannot be published. Please refer to the wage published for this occupation at the provincial level.","En raison des limites associées aux données, le salaire pour cette profession ne peut être diffusé. Veuillez vous référer au salaire publié au niveau provincial pour cette profession.",
NOC_00010,Legislators,Membres des corps législatifs,NL,ER1040,Notre Dame--Central Bonavista Bay,Notre Dame--Central Bonavista Bay,,,,,,,N/A,NA,NA,NA,2025-11-19,0,"Due to data limitations, the wage for this occupation cannot be published. Please refer to the wage published for this occupation at the provincial level.","En raison des limites associées aux données, le salaire pour cette profession ne peut être diffusé. Veuillez vous référer au salaire publié au niveau provincial pour cette profession.",
NOC_00010,Legislators,Membres des corps législatifs,PEI,ER1110,Prince Edward Island,Île-du-Prince-Édouard,,100000,,110000,,,Census 2021 PR NOC5,2021 Census,Recensement 2021,2021,2025-11-19,1,Wages for this occupation are presented at an annual rate to better represent earnings for this occupation.,Pour cette profession sont présentés au taux annuel afin de mieux représenter la rémunération pour cette profession.,
NOC_00010,Legislators,Membres des corps législatifs,NS,ER12,Nova Scotia,Nouvelle-Écosse,35128,94000,158000,94000,43600,131000,Census 2021 PR NOC5,2021 Census,Recensement 2021,2021,2025-11-19,1,Wages for this occupation are presented at an annual rate to better represent earnings for this occupation.,Pour cette profession sont présentés au taux annuel afin de mieux représenter la rémunération pour cette profession.,
NOC_00010,Legislators,Membres des corps législatifs,NS,ER1210,Cape Breton,Cape Breton,,50800,,74000,,108000,Census 2021 ER NOC5,2021 Census,Recensement 2021,2021,2025-11-19,1,Wages for this occupation are presented at an annual rate to better represent earnings for this occupation.,Pour cette profession sont présentés au taux annuel afin de mieux représenter la rémunération pour cette profession.,
NOC_00010,Legislators,Membres des corps législatifs,NS,ER1220,North Shore,Côte-nord,,,,,,,N/A,NA,NA,NA,2025-11-19,0,"Due to data limitations, the wage for this occupation cannot be published. Please refer to the wage published for this occupation at the provincial level.","En raison des limites associées aux données, le salaire pour cette profession ne peut être diffusé. Veuillez vous référer au salaire publié au niveau provincial pour cette profession.",
